Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 'Amelioration of Hepatic Steatosis in Mice through Bacteroides uniformis CBA7346-Mediated Regulation of High-Fat Diet-Induced Insulin Resistance and Lipogenesis.txt', 'Efficacy of artesunate-amodiaquine for treatment of uncomplicated Plasmodium falciparum malaria in mainland Tanzania.txt', 'Molecular modeling
 'Purple sweet potato color alleviates D-galactose-induced brain aging in old mice by promoting survival of neurons via PI3K pathway and inhibiting cytochrome C-mediated apoptosis.txt', 'In vitro activity of T-3761, dynamics simulations
 'Co-administration of Apelin and T4 protects inotropic and chronotropic changes occurring in hypothyroid rats.txt', a new fluoroquinolone.txt', and binding efficiency of berberine derivatives  A new group of RAF inhibitors for cancer treatment.txt'
 'Role of potential bioactive metabolites from traditional Chinese medicine for type 2 diabetes mellitus  An overview.txt', 'SDZ MRL 953, 'Synthesis of novel 1
, a novel immunostimulatory monosaccharidic lipid A analog with an improved therapeutic window in experimental sepsis.txt',8-acridinediones derivatives  Investigation of MDR reversibility on breast cancer cell lines T47D and tamoxifen-resistant T47D.txt'
, 'T-Type Ca2+ Channel Inhibition Sensitizes Ovarian Cancer to Carboplatin.txt', 'Neutrophil extracellular traps formed during chemotherapy confer treatment resistance via TGF-beta activation.txt'
,, 'Tissue-specific regulation of pregnane X receptor in cancer development and therapy.txt'
,, 'Induction of Therapeutic Senescence in Vemurafenib-Resistant Melanoma by Extended Inhibition of CDK4 6.txt'
'The TRAIL to targeted therapy of breast cancer.txt','Induced Heteroresistance in Carbapenem-Resistant Acinetobacter baumannii (CRAB) via Exposure to Human Pleural Fluid (HPF) and Its Impact on Cefiderocol Susceptibility.txt','A novel prohibitin-binding compound induces the mitochondrial apoptotic pathway through NOXA and BIM upregulation.txt'
 'Toward New Transmission-Blocking Combination Therapies  Pharmacokinetics of 10-Amino-Artemisinins and 11-Aza-Artemisinin and Comparison with Dihydroartemisinin and Artemether.txt', 'Prevention of nitroimidazole resistance in Campylobacter pylori by coadministration of colloidal bismuth subcitrate  clinical and in vitro studies.txt', 'Sortase transpeptidases  insights into mechanism
 'Combining nanomedicine and immune checkpoint therapy for cancer immunotherapy.txt', 'Phase II Multicenter Study of Enzalutamide in Metastatic Castration-Resistant Prostate Cancer to Identify Mechanisms Driving Resistance.txt', substrate specificity
 'Antiviral therapies targeting host ER alpha-glucosidases  current status and future directions.txt', 'Inhibition of N-acetyltransferase 10 using remodelin attenuates doxorubicin resistance by reversing the epithelial-mesenchymal transition in breast cancer.txt', and inhibition.txt'
 'Predicting chemosensitivity using drug perturbed gene dynamics.txt', 'The efficacy of sorafenib against hepatocellular carcinoma is enhanced by 5-aza-mediated inhibition of ID1 promoter methylation.txt', 'The Mechanism of Tigecycline Resistance in Acinetobacter baumannii Revealed by Proteomic and Genomic Analysis.txt'
, 'Antibiotic sensitivity of gonococci and treatment of gonorrhoea in Uganda.txt', 'Metabolomics Analysis Reveals Altered Metabolic Pathways and Response to Doxorubicin in Drug-Resistant Triple-Negative Breast Cancer Cells.txt'
,, 'PI3K inhibition results in enhanced estrogen receptor function and dependence in hormone receptor-positive breast cancer.txt'
,, 'Nucleolin Promotes Cisplatin Resistance in Cervical Cancer by the YB1-MDR1 Pathway.txt'
'The role of tryptophan derivatives as anti-kinetoplastid agents.txt','A systematic review of the effect of therapeutic drug monitoring on patient health outcomes during treatment with penicillins.txt','Transcription factor network analysis based on single cell RNA-seq identifies that Trichostatin-a reverses docetaxel resistance in prostate Cancer.txt'
 'Design, 'Daptomycin compared with teicoplanin and vancomycin for therapy of experimental Staphylococcus aureus endocarditis.txt', 'Biochemical and structural analysis of an Eis family aminoglycoside acetyltransferase from bacillus anthracis.txt'
 Synthesis and Biological Evaluation of novel Hedgehog Inhibitors for treating Pancreatic Cancer.txt', 'Comparison of E-test with broth microdilution and disk diffusion for susceptibility testing of coryneform bacteria.txt', 'Computer-aided genomic data analysis of drug-resistant Neisseria gonorrhoeae for the Identification of alternative therapeutic targets.txt'
 'An investigational antiviral drug, 'Sulphamethoxazole-trimethoprim in the treatment of gonorrhoea.txt', 'Molecular pathways  Jak STAT pathway  mutations
 DAS181, 'Effect of barbiturates on the GABA receptor of cat primary afferent neurones.txt', inhibitors
 effectively inhibits replication of zoonotic influenza A virus subtype H7N9 and protects mice from lethality.txt',, and resistance.txt'
 'Validating cancer drug targets through chemical genetics.txt',, 'LRP5 promotes cancer stem cell traits and chemoresistance in colorectal cancer.txt'
 'Targeted Protein Degradation  An Important Tool for Drug Discovery for Undruggable Tumor Transcription Factors.txt',,
Chemical Genomics Approach Leads to the Identification of Hesperadin,Prognostic factors and clinical efficacy of second-line treatments of Pneumocystis jirovecii pneumonia for non-HIV patients after first-line treatment failure.txt,Ohr Protects Corynebacterium glutamicum against Organic Hydroperoxide Induced Oxidative Stress.txt
 an Aurora B Kinase Inhibitor, High efficacy of lopinavir r-based second-line antiretroviral treatment after 24 months of follow up at ESTHER Calmette Hospital in Phnom Penh, PRMT1-mediated methylation of the EGF receptor regulates signaling and cetuximab response.txt
 as a Broad-Spectrum Influenza Antiviral.txt, Cambodia.txt, ATO Increases ROS Production and Apoptosis of Cells by Enhancing Calpain-Mediated Degradation of the Cancer Survival Protein TG2.txt
 Molecular characterization of Plasmodium falciparum uracil-DNA glycosylase and its potential as a new anti-malarial drug target.txt, We should not stop considering HIV drug resistance testing at failure of first-line antiretroviral therapy.txt, Slug (SNAI2) down-regulation by RNA interference facilitates apoptosis and inhibits invasive growth in neuroblastoma preclinical models.txt
 Neutrophil Targeting Platform Reduces Neutrophil Extracellular Traps for Improved Traumatic Brain Injury and Stroke Theranostics.txt, Sulphadoxine pyrimethamine versus amodiaquine for treating uncomplicated childhood malaria in Gabon  a randomized trial to guide national policy.txt, Targeted depletion of PIK3R2 induces regression of lung squamous cell carcinoma.txt
 A novel dietary flavonoid fisetin inhibits androgen receptor signaling and tumor growth in athymic nude mice.txt, The evidence for using tenofovir disoproxil fumarate plus lamivudine as a nucleoside analogue backbone for the treatment of HIV.txt, Enzyme structural plasticity and the emergence of broad-spectrum antibiotic resistance.txt
 Transgelin-2,,
 a novel cancer stem cell-related biomarker,,
 is a diagnostic and therapeutic target for biliary tract cancer.txt,,
 The Potential Use of Natural and Structural Analogues of Antimicrobial Peptides in the Fight against Neglected Tropical Diseases.txt,,
'Potassium intake and the prevalence of metabolic syndrome  the Korean National Health and Nutrition Examination Survey 2008-2010.txt','Labetalol in severe and resistant hypertension.txt','Involvement of peroxisome proliferator-activated receptors in cardiac and vascular remodeling in a novel minipig model of insulin resistance and atherosclerosis induced by consumption of a high-fat cholesterol diet.txt'
 'Expression of miR-18a and miR-34c in circulating monocytes associated with vulnerability to type 2 diabetes mellitus and insulin resistance.txt', 'Tailored antiplatelet therapy can overcome clopidogrel and aspirin resistance--the BOchum CLopidogrel and Aspirin Plan (BOCLA-Plan) to improve antiplatelet therapy.txt', 'PPAR-α
 'Weight change as a predictor of incidence and remission of insulin resistance.txt', 'Hypersusceptibility mechanism of Tenofovir-resistant HIV to EFdA.txt', a lipid-sensing transcription factor
 'Glycated Hemoglobin, 'Effects of olmesartan on arterial stiffness in rats with chronic renal failure.txt', regulates blood-brain barrier efflux transporter expression.txt'
 Fasting Insulin and the Metabolic Syndrome in Males.txt', 'Brief Report  Combination of Osimertinib and Dacomitinib to Mitigate Primary and Acquired Resistance in EGFR-Mutant Lung Adenocarcinomas.txt', 'Truncated ErbB2 expressed in tumor cell nuclei contributes to acquired therapeutic resistance to ErbB2 kinase inhibitors.txt'
 'Egg consumption and risk of type 2 diabetes in older adults.txt', 'Effects of raltegravir or elvitegravir resistance signature mutations on the barrier to dolutegravir resistance in vitro.txt', 'Discovery of the allosteric inhibitor from actinomyces metabolites to target EGFRCSTMLR mutant protein  molecular modeling and free energy approach.txt'
 'Fatty Liver Is an Independent Risk Factor for Elevated Intraocular Pressure.txt',, 'MicroRNA-328 negatively regulates the expression of breast cancer resistance protein (BCRP ABCG2) in human cancer cells.txt'
,, 'Phosphorylation of the androgen receptor by PIM1 in hormone refractory prostate cancer.txt'
'Antibacterial activity of three newly-synthesized chalcones &amp; synergism with antibiotics against clinical isolates of methicillin-resistant Staphylococcus aureus.txt','High prevalence of ceftazidime-resistant Klebsiella pneumoniae and increase of imipenem-resistant Pseudomonas aeruginosa and Acinetobacter spp.txt','Unambiguous numbering of antibiotic resistance genes.txt'
 'Elucidation of the mechanism behind the potentiating activity of baicalin against Burkholderia cenocepacia biofilms.txt', 'Antimicrobial susceptibility patterns and characterization of clinical isolates of Staphylococcus aureus in KwaZulu-Natal province, 'Identification of Positively Charged Residues in Enterovirus 71 Capsid Protein VP1 Essential for Production of Infectious Particles.txt'
 'In vitro and in vivo activities of tigecycline (GAR-936), South Africa.txt', 'Distribution of ace-1R and resistance to carbamates and organophosphates in Anopheles gambiae s.txt'
 daptomycin, 'Evaluation of meropenem regimens suppressing emergence of resistance in Acinetobacter baumannii with human simulated exposure in an in vitro intravenous-infusion hollow-fiber infection model.txt', 'Tumor-Promoting Activity and Proteomic Profiling of Cisplatin Oxaliplatin-Derived DAMPs in Cholangiocarcinoma Cells.txt'
 and comparative antimicrobial agents against glycopeptide-intermediate Staphylococcus aureus and other resistant gram-positive pathogens.txt', 'Antibiotic susceptibility of microorganisms at a general hospital in Lagos, 'Dysregulation of Streptococcus pneumoniae zinc homeostasis breaks ampicillin resistance in a pneumonia infection model.txt'
 'Surfactant nanovesicles for augmented antibacterial activity against carbapenemase resistant enterobacteriaceae and extended spectrum beta-lactamases producing bacteria  in vitro and in vivo evaluation.txt', Nigeria.txt', 'R-182-mediated downregulation of BRCA1 impacts DNA repair and sensitivity to PARP inhibitors.txt'
 'Spiroindolones, 'Amelioration of doxorubicin-induced cardiotoxicity by an anticancer-antioxidant dual-function compound, 'Many chromosomal genes modulate MarA-mediated multidrug resistance in Escherichia coli.txt'
 a potent compound class for the treatment of malaria.txt', HO-3867.txt',
 'Novel Spirocyclic Dimer,,
 SpiD3,,
 Targets Chronic Lymphocytic Leukemia Survival Pathways with Potent Preclinical Effects.txt',,
'Multiple configurations of EGFR exon 20 resistance mutations after first- and third-generation EGFR TKI treatment affect treatment options in NSCLC.txt','Efficacy of tigecycline for secondary Acinetobacter bacteremia and factors associated with treatment failure.txt','Mechanisms and frequency of resistance to premafloxacin in Staphylococcus aureus  novel mutations suggest novel drug-target interactions.txt'
 'The AMPK agonist AICAR inhibits the growth of EGFRvIII-expressing glioblastomas by inhibiting lipogenesis.txt', 'CLINICAL TRIAL OF CEPHALORIDINE (CEPORIN), 'Evidence for the bifunctional nature of mitochondrial phosphatidylserine decarboxylase  role in Pdr3-dependent retrograde regulation of PDR5 expression.txt'
