Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
 'The lantibiotic peptide labyrinthopeptin A1 demonstrates broad anti-HIV and anti-HSV activity with potential for microbicidal applications.txt', amoxicillin, 'Protein tyrosine phosphatases  emerging role in cancer therapy resistance.txt',The lantibiotic peptide labyrinthopeptin A1 demonstrates broad anti-HIV and anti-HSV activity with potential for microbicidal applications.txt,Paradoxical pain.txt,Protein tyrosine phosphatases  emerging role in cancer therapy resistance.txt
'Collections of simultaneously altered genes as biomarkers of cancer cell drug response.txt','Evaluation of three techniques for detection of low-level methicillin-resistant Staphylococcus aureus (MRSA)  a disk diffusion method with cefoxitin and moxalactam,'Characterizing the Epothilone Binding Site on β-Tubulin by Photoaffinity Labeling  Identification of β-Tubulin Peptides TARGSQQY and TSRGSQQY as Targets of an Epothilone Photoprobe for Polymerized Tubulin.txt',Collections of simultaneously altered genes as biomarkers of cancer cell drug response.txt,"Evaluation of three techniques for detection of low-level methicillin-resistant Staphylococcus aureus (MRSA)  a disk diffusion method with cefoxitin and moxalactam, the Vitek 2 system, and the MRSA-screen latex agglutination test.txt",Characterizing the Epothilone Binding Site on β-Tubulin by Photoaffinity Labeling  Identification of β-Tubulin Peptides TARGSQQY and TSRGSQQY as Targets of an Epothilone Photoprobe for Polymerized Tubulin.txt
 'Synergic Role of Dietary Bioactive Compounds in Breast Cancer Chemoprevention and Combination Therapies.txt', the Vitek 2 system, 'Blockade of deubiquitylating enzyme Rpn11 triggers apoptosis in multiple myeloma cells and overcomes bortezomib resistance.txt',Synergic Role of Dietary Bioactive Compounds in Breast Cancer Chemoprevention and Combination Therapies.txt,2 diabetes.txt,Blockade of deubiquitylating enzyme Rpn11 triggers apoptosis in multiple myeloma cells and overcomes bortezomib resistance.txt
 'Negative correlation between acetyl-CoA acyltransferase 2 and cetuximab resistance in colorectal cancer.txt', and the MRSA-screen latex agglutination test.txt', 'Molecular docking analysis of new generation cephalosporins interactions with recently known SHV-variants.txt',Negative correlation between acetyl-CoA acyltransferase 2 and cetuximab resistance in colorectal cancer.txt,Assessing the current role of platelet function testing.txt,Molecular docking analysis of new generation cephalosporins interactions with recently known SHV-variants.txt
 'Ponatinib inhibits polyclonal drug-resistant KIT oncoproteins and shows therapeutic potential in heavily pretreated gastrointestinal stromal tumor (GIST) patients.txt', 'Utilization and effectiveness of elbasvir grazoprevir and adoption of resistance-associated substitutions testing in real-world treatment of hepatitis C virus genotype 1A infection  results from the German Hepatitis C-Registry.txt', 'Estrone and 17beta-estradiol reverse breast cancer resistance protein-mediated multidrug resistance.txt',Ponatinib inhibits polyclonal drug-resistant KIT oncoproteins and shows therapeutic potential in heavily pretreated gastrointestinal stromal tumor (GIST) patients.txt,Utilization and effectiveness of elbasvir grazoprevir and adoption of resistance-associated substitutions testing in real-world treatment of hepatitis C virus genotype 1A infection  results from the German Hepatitis C-Registry.txt,Estrone and 17beta-estradiol reverse breast cancer resistance protein-mediated multidrug resistance.txt
 'Improved survival with enasidenib versus standard of care in relapsed refractory acute myeloid leukemia associated with IDH2 mutations using historical data and propensity score matching analysis.txt', 'Ripretinib Versus Sunitinib in Patients With Advanced Gastrointestinal Stromal Tumor After Treatment With Imatinib (INTRIGUE)  A Randomized, 'VN 14-1 induces ER stress and autophagy in HP-LTLC human breast cancer cells and has excellent oral pharmacokinetic profile in female Sprague Dawley rats.txt',Improved survival with enasidenib versus standard of care in relapsed refractory acute myeloid leukemia associated with IDH2 mutations using historical data and propensity score matching analysis.txt,"Ripretinib Versus Sunitinib in Patients With Advanced Gastrointestinal Stromal Tumor After Treatment With Imatinib (INTRIGUE)  A Randomized, Open-Label, Phase III Trial.txt",VN 14-1 induces ER stress and autophagy in HP-LTLC human breast cancer cells and has excellent oral pharmacokinetic profile in female Sprague Dawley rats.txt
'Expanding Research on Cannabis-Based Medicines for Liver Steatosis  A Low-Risk High-Reward Way Out of the Present Deadlock.txt','Efficacy of galactose and adalimumab in patients with resistant focal segmental glomerulosclerosis  report of the font clinical trial group.txt','Chronologically modified androgen receptor in recurrent castration-resistant prostate cancer and its therapeutic targeting.txt',Expanding Research on Cannabis-Based Medicines for Liver Steatosis  A Low-Risk High-Reward Way Out of the Present Deadlock.txt,Efficacy of galactose and adalimumab in patients with resistant focal segmental glomerulosclerosis  report of the font clinical trial group.txt,Chronologically modified androgen receptor in recurrent castration-resistant prostate cancer and its therapeutic targeting.txt
 'Snake venoms  attractive antimicrobial proteinaceous compounds for therapeutic purposes.txt', 'Moxifloxacin population pharmacokinetics and model-based comparison of efficacy between moxifloxacin and ofloxacin in African patients.txt', 'Development of an orally bioavailable mSWI SNF ATPase degrader and acquired mechanisms of resistance in prostate cancer.txt',Snake venoms  attractive antimicrobial proteinaceous compounds for therapeutic purposes.txt,Moxifloxacin population pharmacokinetics and model-based comparison of efficacy between moxifloxacin and ofloxacin in African patients.txt,Development of an orally bioavailable mSWI SNF ATPase degrader and acquired mechanisms of resistance in prostate cancer.txt
 'Fungal naphtho-gamma-pyrones  Potent antibiotics for drug-resistant microbial pathogens.txt', 'Virological and pharmacological parameters predicting the response to lopinavir-ritonavir in heavily protease inhibitor-experienced patients.txt', 'Niclosamide overcomes acquired resistance to erlotinib through suppression of STAT3 in non-small cell lung cancer.txt',Fungal naphtho-gamma-pyrones  Potent antibiotics for drug-resistant microbial pathogens.txt,Virological and pharmacological parameters predicting the response to lopinavir-ritonavir in heavily protease inhibitor-experienced patients.txt,Niclosamide overcomes acquired resistance to erlotinib through suppression of STAT3 in non-small cell lung cancer.txt
 'Imaging of Plasmodium liver stages to drive next-generation antimalarial drug discovery.txt', 'Treatment and prophylaxis of invasive candidiasis with anidulafungin, '14-3-3sigma attenuates RhoGDI2-induced cisplatin resistance through activation of Erk and p38 in gastric cancer cells.txt',Imaging of Plasmodium liver stages to drive next-generation antimalarial drug discovery.txt,Treatment and prophylaxis of melioidosis.txt,14-3-3sigma attenuates RhoGDI2-induced cisplatin resistance through activation of Erk and p38 in gastric cancer cells.txt
 'Herb and Spices in Colorectal Cancer Prevention and Treatment  A Narrative Review.txt', caspofungin and micafungin and its impact on use and costs  review of the literature.txt', 'Mechanistic Analysis of the Broad Antiretroviral Resistance Conferred by HIV-1 Envelope Glycoprotein Mutations.txt',Herb and Spices in Colorectal Cancer Prevention and Treatment  A Narrative Review.txt,"Treatment and prophylaxis of invasive candidiasis with anidulafungin, caspofungin and micafungin and its impact on use and costs  review of the literature.txt",Mechanistic Analysis of the Broad Antiretroviral Resistance Conferred by HIV-1 Envelope Glycoprotein Mutations.txt
'Transport and pharmacodynamics of albitiazolium,'53 activates the CD95 (APO-1 Fas) gene in response to DNA damage by anticancer drugs.txt','Sphingomyelin depletion in cultured cells blocks proteolysis of sterol regulatory element binding proteins at site 1.txt',"Transport and pharmacodynamics of albitiazolium, an antimalarial drug candidate.txt",53 activates the CD95 (APO-1 Fas) gene in response to DNA damage by anticancer drugs.txt,Sphingomyelin depletion in cultured cells blocks proteolysis of sterol regulatory element binding proteins at site 1.txt
 an antimalarial drug candidate.txt', 'Nilotinib counteracts P-glycoprotein-mediated multidrug resistance and synergizes the antitumoral effect of doxorubicin in soft tissue sarcomas.txt', 'The absence of ABCD2 sensitizes mice to disruptions in lipid metabolism by dietary erucic acid.txt',AMDD  antimicrobial drug database.txt,Nilotinib counteracts P-glycoprotein-mediated multidrug resistance and synergizes the antitumoral effect of doxorubicin in soft tissue sarcomas.txt,The absence of ABCD2 sensitizes mice to disruptions in lipid metabolism by dietary erucic acid.txt
 'Molecular Basis of Insulin Resistance  The Role of IRS and Foxo1 in the Control of Diabetes Mellitus and Its Complications.txt', 'Phase II study of cilengitide (EMD 121974, 'Mechanisms controlling cell size and shape during isotropic cell spreading.txt',Molecular Basis of Insulin Resistance  The Role of IRS and Foxo1 in the Control of Diabetes Mellitus and Its Complications.txt,A longitudinal study of dominant E.txt,Mechanisms controlling cell size and shape during isotropic cell spreading.txt
 'Peroxisome proliferator-activated receptor gamma agonists for preventing recurrent stroke and other vascular events in people with stroke or transient ischaemic attack.txt', NSC 707544) in patients with non-metastatic castration resistant prostate cancer, 'Autophagy induced by valproic acid is associated with oxidative stress in glioma cell lines.txt',Peroxisome proliferator-activated receptor gamma agonists for preventing recurrent stroke and other vascular events in people with stroke or transient ischaemic attack.txt,"Phase II study of cilengitide (EMD 121974, NSC 707544) in patients with non-metastatic castration resistant prostate cancer, NCI-6735.txt",Autophagy induced by valproic acid is associated with oxidative stress in glioma cell lines.txt
 'Low dose of 2-deoxy-D-glucose kills acute lymphoblastic leukemia cells and reverses glucocorticoid resistance via N-linked glycosylation inhibition under normoxia.txt', NCI-6735.txt', 'Identification of mRNA expression biomarkers associated with epilepsy and response to valproate with co-expression analysis.txt',Low dose of 2-deoxy-D-glucose kills acute lymphoblastic leukemia cells and reverses glucocorticoid resistance via N-linked glycosylation inhibition under normoxia.txt,N.txt,Identification of mRNA expression biomarkers associated with epilepsy and response to valproate with co-expression analysis.txt
 'Omadacycline Is Highly Active In Vitro against Mycoplasma genitalium.txt', 'Favorable outcomes for multidrug and extensively drug resistant tuberculosis patients undergoing surgery.txt', 'Development of Highly Sensitive Digital Droplet PCR for Detection of cKIT Mutations in Circulating Free DNA That Mediate Resistance to TKI Treatment for Gastrointestinal Stromal Tumor (GIST).txt',Omadacycline Is Highly Active In Vitro against Mycoplasma genitalium.txt,Favorable outcomes for multidrug and extensively drug resistant tuberculosis patients undergoing surgery.txt,Development of Highly Sensitive Digital Droplet PCR for Detection of cKIT Mutations in Circulating Free DNA That Mediate Resistance to TKI Treatment for Gastrointestinal Stromal Tumor (GIST).txt
 'Identification of Peptide Antagonists to Thioredoxin Glutathione Reductase of Schistosoma japonicum.txt', 'PDK1 Inhibitor BX795 Improves Cisplatin and Radio-Efficacy in Oral Squamous Cell Carcinoma by Downregulating the PDK1 CD47 Akt-Mediated Glycolysis Signaling Pathway.txt', 'Comprehensive analysis of suppressor of cytokine signaling 2 protein in the malignant transformation of NSCLC.txt',Identification of Peptide Antagonists to Thioredoxin Glutathione Reductase of Schistosoma japonicum.txt,PDK1 Inhibitor BX795 Improves Cisplatin and Radio-Efficacy in Oral Squamous Cell Carcinoma by Downregulating the PDK1 CD47 Akt-Mediated Glycolysis Signaling Pathway.txt,Comprehensive analysis of suppressor of cytokine signaling 2 protein in the malignant transformation of NSCLC.txt
 'Individual saturated fatty acids are associated with different components of insulin resistance and glucose metabolism  the GOCADAN study.txt', 'Overcoming resistance to immune checkpoint therapy in PTEN-null prostate cancer by intermittent anti-PI3Kalpha beta delta treatment.txt', 'Subsequent strategies and underlying mechanism of acquired resistance to PD-1 axis inhibitors in advanced non-small cell lung cancer.txt',Individual saturated fatty acids are associated with different components of insulin resistance and glucose metabolism  the GOCADAN study.txt,Overcoming resistance to immune checkpoint therapy in PTEN-null prostate cancer by intermittent anti-PI3Kalpha beta delta treatment.txt,Subsequent strategies and underlying mechanism of acquired resistance to PD-1 axis inhibitors in advanced non-small cell lung cancer.txt
